10,Insectinator
7,Insectinator
20,Insectinator
14,Insectinator
14,Insectinator
12,Insectinator
10,Insectinator
23,Insectinator
17,Insectinator
20,Insectinator
14,Insectinator
13,Insectinator
11,Placebo
17,Placebo
21,Placebo
11,Placebo
16,Placebo
14,Placebo
17,Placebo
17,Placebo
19,Placebo
21,Placebo
7,Placebo
13,Placebo
0,Buzzkill
1,Buzzkill
7,Buzzkill
2,Buzzkill
3,Buzzkill
1,Buzzkill
2,Buzzkill
1,Buzzkill
3,Buzzkill
0,Buzzkill
1,Buzzkill
4,Buzzkill
3,Aprotex
5,Aprotex
12,Aprotex
6,Aprotex
4,Aprotex
3,Aprotex
5,Aprotex
5,Aprotex
5,Aprotex
5,Aprotex
2,Aprotex
4,Aprotex
3,TickedOff
5,TickedOff
3,TickedOff
5,TickedOff
3,TickedOff
6,TickedOff
1,TickedOff
1,TickedOff
3,TickedOff
2,TickedOff
6,TickedOff
4,TickedOff
11,PestiLess
9,PestiLess
15,PestiLess
22,PestiLess
15,PestiLess
16,PestiLess
13,PestiLess
10,PestiLess
26,PestiLess
26,PestiLess
24,PestiLess
13,PestiLess
